Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,WHH,WHD,WHA,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,HomeTeamLP,AwayTeamLP,MW,Sezon,H2H_Home,H2H_Away,H2H_Home_pts,H2H_Away_pts
2004-03-28,Murcia,Mallorca,2,0,H,2.62,3.1,2.37,23,36,46,54,0,0,L,L,L,W,D,L,L,L,L,D,20.0,11.0,30,4,L,W,0,3
2004-03-28,Real Madrid,Sevilla,5,1,H,1.28,4.33,8.5,58,38,35,31,0,0,L,L,D,L,D,W,W,D,W,W,4.0,6.0,30,4,WWL,LLW,6,3
2004-03-28,Santander,Valencia,0,3,A,3.6,3.1,1.9,39,57,44,21,1,3,D,W,W,W,D,W,L,L,W,L,16.0,1.0,30,4,LWW,WLL,6,3
2004-03-28,Valladolid,Osasuna,1,1,D,2.3,3.0,2.8,35,30,41,25,0,3,L,W,W,D,W,D,L,W,L,D,18.0,13.0,30,4,DLD,DWD,2,5
2004-03-28,Villarreal,Ath Madrid,0,0,D,2.1,3.1,3.1,39,36,40,35,0,3,L,W,W,L,L,D,L,W,L,D,8.0,7.0,30,4,WLL,LWW,3,6
2004-03-04,Albacete,Real Madrid,1,2,A,4.2,3.25,1.72,29,58,36,35,3,0,W,L,L,D,W,D,W,W,W,W,14.0,4.0,30,4,L,W,0,3
2004-03-04,Barcelona,Villarreal,0,0,D,1.4,3.5,8.0,48,39,32,40,1,1,D,D,W,L,W,W,W,L,W,L,2.0,8.0,31,4,WLL,LWW,3,6
2004-03-04,Sevilla,Espanol,1,0,H,1.83,3.2,3.75,39,34,36,52,0,3,L,W,L,D,L,L,W,W,D,W,6.0,17.0,31,4,DWL,DLW,4,4
2004-04-04,Ath Bilbao,Celta,0,0,D,1.66,3.3,4.5,40,41,39,60,0,0,L,L,W,D,L,L,L,L,W,L,5.0,19.0,31,4,WLW,LWL,6,3
2004-04-04,Ath Madrid,Valladolid,2,1,H,1.66,3.1,5.0,36,36,35,42,1,1,D,D,W,L,L,W,D,W,W,L,7.0,18.0,31,4,WLL,LWW,3,6
2004-04-04,La Coruna,Betis,2,2,D,1.5,3.4,6.0,48,38,28,34,3,1,W,D,W,L,L,D,L,L,L,D,3.0,9.0,31,4,LWD,WLD,4,4
2004-04-04,Mallorca,Sociedad,1,1,D,2.25,3.1,2.8,36,34,56,42,0,0,L,L,L,L,W,W,L,D,L,L,11.0,15.0,31,4,LLW,WWL,3,6
2004-04-04,Osasuna,Malaga,1,1,D,2.0,3.1,3.3,31,40,26,43,1,1,D,D,W,W,D,W,D,L,W,W,13.0,10.0,31,4,LLD,WWD,1,7
2004-04-04,Valencia,Murcia,2,0,H,1.2,5.0,11.0,60,25,21,46,3,3,W,W,W,L,W,L,W,D,L,L,1.0,20.0,31,4,D,D,1,1
2004-04-04,Zaragoza,Santander,2,2,D,2.0,3.1,3.3,34,39,39,47,3,0,W,L,D,D,D,W,W,D,W,L,12.0,16.0,31,4,WLW,LWL,6,3
2004-10-04,Celta,Sevilla,0,0,D,2.2,3.0,3.0,41,39,60,36,0,0,L,L,D,L,L,L,L,W,L,D,19.0,6.0,31,4,WLW,LWL,6,3
2004-10-04,Malaga,Ath Madrid,3,1,H,2.2,3.0,3.0,41,38,44,36,1,3,D,W,D,D,W,W,W,L,L,D,10.0,7.0,32,4,WLL,LWW,3,6
2004-10-04,Valladolid,Barcelona,1,3,A,3.3,3.1,2.0,37,51,44,33,0,3,L,W,D,D,L,W,W,W,W,W,18.0,2.0,32,4,WDD,LDD,5,2
2004-11-04,Betis,Mallorca,0,2,A,1.8,3.1,4.0,38,37,36,57,0,1,L,D,D,L,L,L,D,W,L,L,9.0,11.0,32,4,LLL,WWW,0,9
2004-11-04,Espanol,Albacete,1,1,D,1.9,3.1,3.6,34,31,53,39,0,0,L,L,W,D,D,W,L,L,W,W,17.0,14.0,32,4,L,W,0,3
2004-11-04,Real Madrid,Osasuna,0,3,A,1.3,4.0,9.5,65,32,37,27,3,1,W,D,W,D,L,W,D,D,D,D,4.0,13.0,32,4,WLD,LWD,4,4
2004-11-04,Santander,Ath Bilbao,1,2,A,2.25,3.1,2.8,41,40,49,39,1,1,D,D,L,L,D,W,W,L,D,L,16.0,5.0,32,4,LLW,WWL,3,6
2004-11-04,Sociedad,Murcia,2,0,H,1.44,3.5,7.0,35,25,43,48,1,0,D,L,L,W,L,L,W,L,D,D,15.0,20.0,32,4,D,D,1,1
2004-11-04,Villarreal,La Coruna,0,2,A,2.62,3.1,2.37,39,50,40,30,1,1,D,D,D,W,L,W,W,L,L,L,8.0,3.0,32,4,WLW,LWL,6,3
2004-11-04,Zaragoza,Valencia,0,1,A,3.5,3.2,1.9,36,62,41,21,1,3,D,W,W,W,D,W,D,W,W,W,12.0,1.0,32,4,LLL,WWW,0,9
2004-04-14,Betis,Barcelona,1,1,D,3.3,3.1,2.0,38,51,36,33,0,3,L,W,D,D,L,W,D,W,L,W,9.0,2.0,32,4,WLL,LWW,3,6
2004-04-17,Ath Bilbao,Zaragoza,4,0,H,1.8,3.1,4.0,42,36,40,42,3,0,W,L,D,D,L,W,W,D,L,D,5.0,12.0,33,4,WDD,LDD,5,2
